region,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,is_price_outlier,price_bin,distance_to_region_center,region_encoded,host_experience_level,price_per_review
Santa Clara County,4952,Butterfly Inn near Stanford with weekly cleaning,7054,Mei Lin,Palo Alto,37.43932,-122.15741,Private room,72.0,3,96,2024-11-23,0.5,5,206,8,,False,Low,26.502082483876546,2,Experienced,0.7422680412371134
Santa Clara County,11464,Deluxe Studio near Kaiser SC:Traveler/Tesla intern,42458,Emey,Santa Clara,37.34415,-121.98701,Entire home/apt,101.0,3,25,2025-01-14,0.19,14,157,2,,False,Low,8.948552309240947,2,Superhost,3.8846153846153846
Santa Clara County,21026,Chi Home,79924,Khanh,San Jose,37.3176,-121.91577,Entire home/apt,450.0,2,14,2015-05-14,0.09,12,361,0,,False,High,3.4711469735505163,2,Superhost,30.0
Santa Clara County,21028,"Zen home, Gated",79924,Khanh,San Jose,37.31534,-121.91598,Entire home/apt,350.0,2,8,2016-01-07,0.05,12,365,0,,False,High,3.6546472288606924,2,Superhost,38.888888888888886
Santa Clara County,21373,Bonsai Garden near Stanford with weekly cleaning,7054,Mei Lin,Palo Alto,37.43972,-122.15532,Private room,80.0,5,285,2025-02-27,1.58,5,306,17,,False,Low,26.35342322077675,2,Experienced,0.27972027972027974
Santa Clara County,62799,"Zen Bedroom in Palo Alto, includes weekly cleaning",7054,Mei Lin,Palo Alto,37.43934,-122.15723,Private room,88.0,14,167,2025-03-08,1.27,5,38,9,,False,Low,26.48858067886429,2,Experienced,0.5238095238095238
Santa Clara County,75284,Garden Oasis walk to Stanford with weekly cleaning,7054,Mei Lin,Palo Alto,37.43923,-122.15745,Private room,85.0,5,227,2025-02-01,1.34,5,254,11,,False,Low,26.501076653994886,2,Experienced,0.37280701754385964
Santa Clara County,106365,Luxurious Private Quiet Home NearMain St Cupertino,551319,Judith,Cupertino,37.32194,-122.00511,Entire home/apt,189.0,30,188,2024-12-01,1.14,1,313,1,Exempt,False,Mid,10.683107582286985,2,Newbie,1.0
Santa Clara County,118903,"Entire Guest Suite, Entrance@ House of Chauncey",600040,Rey,Sunnyvale,37.38466,-122.03628,Entire home/apt,111.0,5,159,2025-03-16,0.95,1,61,15,2021-7703,False,Mid,14.251991748156305,2,Newbie,0.69375
Santa Clara County,134606,"Private Room, Cozy Home Downtown SJ",660433,Veronica,San Jose,37.34602,-121.88821,Private room,70.0,1,186,2023-05-12,1.12,1,168,0,,False,Low,0.884243828094154,2,Newbie,0.37433155080213903
Santa Clara County,172259,"Studio with a private bath, wet bar and small frig",821982,Grace,Palo Alto,37.40312,-122.12661,Private room,95.0,2,17,2024-01-01,0.25,7,289,0,,False,Low,22.472475055229275,2,Experienced,5.277777777777778
